name,prefix,steps,nL,ns,gcd,L_edsteps,s_edsteps,add_depth,Ls_ratio,hardness,ed,genL,gens,gen_edsteps,skew,depth
tcherepnin,cher-,9,3,6,3,2,1,1,2:1,basic,12,1,1,3,0.750000,1
tcherepnin,cher-,9,3,6,3,3,1,2,3:1,hard,15,1,1,4,0.800000,1
tcherepnin,cher-,9,3,6,3,3,2,2,3:2,soft,21,1,1,5,0.714286,1
tcherepnin,cher-,9,3,6,3,4,1,3,4:1,superhard,18,1,1,5,0.833333,1
tcherepnin,cher-,9,3,6,3,4,3,3,4:3,supersoft,30,1,1,7,0.700000,1
tcherepnin,cher-,9,3,6,3,5,2,3,5:2,semihard,27,1,1,7,0.777778,1
tcherepnin,cher-,9,3,6,3,5,3,3,5:3,semisoft,33,1,1,8,0.727273,1
gramitonic,gram-,9,4,5,1,1,1,0,1:1,equalized,9,1,1,2,0.222222,4
gramitonic,gram-,9,4,5,1,2,1,1,2:1,basic,13,1,1,3,0.230769,4
gramitonic,gram-,9,4,5,1,3,1,2,3:1,hard,17,1,1,4,0.235294,4
gramitonic,gram-,9,4,5,1,3,2,2,3:2,soft,22,1,1,5,0.227273,4
gramitonic,gram-,9,4,5,1,4,1,3,4:1,superhard,21,1,1,5,0.238095,4
gramitonic,gram-,9,4,5,1,4,3,3,4:3,supersoft,31,1,1,7,0.225806,4
gramitonic,gram-,9,4,5,1,5,2,3,5:2,semihard,30,1,1,7,0.233333,4
gramitonic,gram-,9,4,5,1,5,3,3,5:3,semisoft,35,1,1,8,0.228571,4
semiquartal,cthon-,9,5,4,1,1,1,0,1:1,equalized,9,4,3,7,0.777778,4
semiquartal,cthon-,9,5,4,1,2,1,1,2:1,basic,14,4,3,11,0.785714,4
semiquartal,cthon-,9,5,4,1,3,1,2,3:1,hard,19,4,3,15,0.789474,4
semiquartal,cthon-,9,5,4,1,3,2,2,3:2,soft,23,4,3,18,0.782609,4
semiquartal,cthon-,9,5,4,1,4,1,3,4:1,superhard,24,4,3,19,0.791667,4
semiquartal,cthon-,9,5,4,1,4,3,3,4:3,supersoft,32,4,3,25,0.781250,4
semiquartal,cthon-,9,5,4,1,5,2,3,5:2,semihard,33,4,3,26,0.787879,4
semiquartal,cthon-,9,5,4,1,5,3,3,5:3,semisoft,37,4,3,29,0.783784,4
hyrulic,hyru-,9,6,3,3,1,1,0,1:1,equalized,9,1,0,1,0.333333,1
hyrulic,hyru-,9,6,3,3,2,1,1,2:1,basic,15,1,0,2,0.400000,1
hyrulic,hyru-,9,6,3,3,3,1,2,3:1,hard,21,1,0,3,0.428571,1
hyrulic,hyru-,9,6,3,3,3,2,2,3:2,soft,24,1,0,3,0.375000,1
hyrulic,hyru-,9,6,3,3,4,1,3,4:1,superhard,27,1,0,4,0.444444,1
hyrulic,hyru-,9,6,3,3,4,3,3,4:3,supersoft,33,1,0,4,0.363636,1
hyrulic,hyru-,9,6,3,3,5,2,3,5:2,semihard,36,1,0,5,0.416667,1
hyrulic,hyru-,9,6,3,3,5,3,3,5:3,semisoft,39,1,0,5,0.384615,1
armotonic,arm-,9,7,2,1,1,1,0,1:1,equalized,9,4,1,5,0.555556,4
armotonic,arm-,9,7,2,1,2,1,1,2:1,basic,16,4,1,9,0.562500,4
armotonic,arm-,9,7,2,1,3,1,2,3:1,hard,23,4,1,13,0.565217,4
armotonic,arm-,9,7,2,1,3,2,2,3:2,soft,25,4,1,14,0.560000,4
armotonic,arm-,9,7,2,1,4,1,3,4:1,superhard,30,4,1,17,0.566667,4
armotonic,arm-,9,7,2,1,4,3,3,4:3,supersoft,34,4,1,19,0.558824,4
armotonic,arm-,9,7,2,1,5,2,3,5:2,semihard,39,4,1,22,0.564103,4
armotonic,arm-,9,7,2,1,5,3,3,5:3,semisoft,41,4,1,23,0.560976,4
subneutralic,blu-,9,8,1,1,1,1,0,1:1,equalized,9,1,0,1,0.111111,7
subneutralic,blu-,9,8,1,1,2,1,1,2:1,basic,17,1,0,2,0.117647,7
subneutralic,blu-,9,8,1,1,3,1,2,3:1,hard,25,1,0,3,0.120000,7
subneutralic,blu-,9,8,1,1,3,2,2,3:2,soft,26,1,0,3,0.115385,7
subneutralic,blu-,9,8,1,1,4,1,3,4:1,superhard,33,1,0,4,0.121212,7
subneutralic,blu-,9,8,1,1,4,3,3,4:3,supersoft,35,1,0,4,0.114286,7
subneutralic,blu-,9,8,1,1,5,2,3,5:2,semihard,42,1,0,5,0.119048,7
subneutralic,blu-,9,8,1,1,5,3,3,5:3,semisoft,43,1,0,5,0.116279,7
antisinatonic,asina-,10,1,9,1,1,1,0,1:1,equalized,10,1,8,9,0.900000,8
antisinatonic,asina-,10,1,9,1,2,1,1,2:1,basic,11,1,8,10,0.909091,8
antisinatonic,asina-,10,1,9,1,3,1,2,3:1,hard,12,1,8,11,0.916667,8
antisinatonic,asina-,10,1,9,1,3,2,2,3:2,soft,21,1,8,19,0.904762,8
antisinatonic,asina-,10,1,9,1,4,1,3,4:1,superhard,13,1,8,12,0.923077,8
antisinatonic,asina-,10,1,9,1,4,3,3,4:3,supersoft,31,1,8,28,0.903226,8
